Site,Excl_no,Exclosure,Season_rec,FileName,Date,Time,TriggerMode,Sequence,MoonPhase,AmbientTemp,SerialNumber,SceneCaptureType,Moose,RoeDeer,RedDeer,FallowDeer,UnknownDeer,WildBoar,Hare,Fox,Bird,Human,Dog,OtherSpecies,Inside,Outside,Calf_piglet,UnknownAge,Female,Male,UnknownSex,Male_Adult,Male_Juvenile,Male_UnknownAge
Station A,1,Summer,Winter,IMG_0001.JPG,24.09.2016,13:00:00,Time Lapse,0 of 0,Last Quarter,17,H500HI05231947,Standard,1,,,,,,,,,,,,1,,,,1,,,,,
Station A,1,Summer,Winter,IMG_0002.JPG,25.09.2016,13:00:00,Time Lapse,0 of 0,Last Quarter,20,H500HI05231947,Standard,1,,,,,,,,,,,,1,,,,1,,,,,
Station A,1,Summer,Winter,IMG_0003.JPG,26.09.2016,13:00:00,Time Lapse,0 of 0,Old Crescent,20,H500HI05231947,Standard,1,,,,,,,,,,,,1,,,,1,,,,,
Station A,1,Summer,Winter,IMG_0004.JPG,27.09.2016,13:00:00,Time Lapse,0 of 0,Old Crescent,20,H500HI05231947,Standard,2,,,,,,,,,,,,2,,,,1,1,,1,,
Station A,1,Summer,Winter,IMG_0005.JPG,28.09.2016,13:00:00,Time Lapse,0 of 0,Old Crescent,17,H500HI05231947,Standard,2,,,,,,,,,,,,2,,,,1,1,,1,,
Station A,1,Summer,Winter,IMG_0006.JPG,29.09.2016,13:00:00,Time Lapse,0 of 0,Old Crescent,15,H500HI05231947,Standard,2,,,,,,,,,,,,2,,,,1,1,,1,,
Station A,1,Summer,Winter,IMG_0007.JPG,30.09.2016,13:00:00,Time Lapse,0 of 0,New,17,H500HI05231947,Standard,2,,,,,,,,,,,,2,,,,1,1,,1,,
Station A,1,Summer,Winter,IMG_0008.JPG,01.10.2016,13:00:00,Time Lapse,0 of 0,New,17,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station A,1,Summer,Winter,IMG_0009.JPG,02.10.2016,13:00:00,Time Lapse,0 of 0,New,17,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station A,1,Summer,Winter,IMG_0010.JPG,03.10.2016,13:00:00,Time Lapse,0 of 0,New,14,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station A,1,Summer,Winter,IMG_0011.JPG,04.10.2016,13:00:00,Time Lapse,0 of 0,New Crescent,10,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station A,1,Summer,Winter,IMG_0012.JPG,05.10.2016,10:03:07,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station A,1,Summer,Winter,IMG_0013.JPG,05.10.2016,10:03:08,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station A,1,Summer,Winter,IMG_0014.JPG,05.10.2016,10:03:09,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0001.JPG,05.10.2016,10:03:12,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0002.JPG,05.10.2016,10:03:14,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0003.JPG,05.10.2016,10:03:15,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0004.JPG,05.10.2016,10:03:18,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0005.JPG,05.10.2016,10:03:20,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0006.JPG,05.10.2016,10:03:20,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0007.JPG,05.10.2016,10:03:23,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0008.JPG,05.10.2016,10:03:24,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0009.JPG,05.10.2016,10:03:25,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0010.JPG,05.10.2016,10:03:28,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0011.JPG,05.10.2016,10:03:29,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0012.JPG,05.10.2016,10:03:30,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0013.JPG,05.10.2016,10:03:32,Motion Detection,1 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station B,1,Summer,Winter,IMG_0014.JPG,05.10.2016,10:03:33,Motion Detection,2 of 3,New Crescent,9,H500HI05231947,Standard,,1,,,,,,,,,,,1,,,,1,,,,,
Station C,1,Summer,Winter,IMG_0001.JPG,05.10.2016,10:03:34,Motion Detection,3 of 3,New Crescent,9,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0002.JPG,05.10.2016,13:00:00,Time Lapse,0 of 0,New Crescent,12,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0003.JPG,06.10.2016,13:00:00,Time Lapse,0 of 0,New Crescent,13,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0004.JPG,07.10.2016,13:00:00,Time Lapse,0 of 0,First Quarter,13,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0005.JPG,08.10.2016,13:00:00,Time Lapse,0 of 0,First Quarter,8,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0006.JPG,09.10.2016,13:00:00,Time Lapse,0 of 0,First Quarter,10,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0007.JPG,10.10.2016,13:00:00,Time Lapse,0 of 0,First Quarter,9,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0008.JPG,11.10.2016,13:00:00,Time Lapse,0 of 0,Waxing Gibbous,9,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0009.JPG,12.10.2016,13:00:00,Time Lapse,0 of 0,Waxing Gibbous,9,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0010.JPG,13.10.2016,13:00:00,Time Lapse,0 of 0,Waxing Gibbous,9,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0011.JPG,14.10.2016,13:00:00,Time Lapse,0 of 0,Waxing Gibbous,7,H500HI05231947,Standard,,,,12,,,,,,,,,12,,,,12,,,,,
Station C,1,Summer,Winter,IMG_0012.JPG,15.10.2016,13:00:00,Time Lapse,0 of 0,Full,7,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station C,1,Summer,Winter,IMG_0013.JPG,16.10.2016,13:00:00,Time Lapse,0 of 0,Full,9,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station C,1,Summer,Winter,IMG_0014.JPG,17.10.2016,13:00:00,Time Lapse,0 of 0,Full,11,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station C,1,Summer,Winter,IMG_0015.JPG,18.10.2016,07:49:29,Motion Detection,1 of 3,Full,8,H500HI05231947,Standard,,,2,,,,,,,,,,2,,,,2,,,,,
Station C,1,Summer,Winter,IMG_0016.JPG,18.10.2016,07:49:31,Motion Detection,2 of 3,Full,8,H500HI05231947,Standard,,,2,,,,,,,,,,2,,,,2,,,,,
Station C,1,Summer,Winter,IMG_0017.JPG,18.10.2016,07:49:32,Motion Detection,3 of 3,Full,8,H500HI05231947,Standard,,,2,,,,,,,,,,2,,,,2,,,,,
Station C,1,Summer,Winter,IMG_0018.JPG,18.10.2016,13:00:00,Time Lapse,0 of 0,Full,9,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station C,1,Summer,Winter,IMG_0019.JPG,19.10.2016,13:00:00,Time Lapse,0 of 0,Waning Gibbous,9,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
Station C,1,Summer,Winter,IMG_0020.JPG,20.10.2016,13:00:00,Time Lapse,0 of 0,Waning Gibbous,9,H500HI05231947,Standard,,,,,,,,,,,,,,,,,,,,,,
